date,avg,min,max,open,close
14.03.2005,602.675,596.26,609.09,608.45,597.89
15.03.2005,599.155,593.88,604.43,597.89,595.16
16.03.2005,585.05,573.40,596.70,595.16,573.85
17.03.2005,578.94,573.36,584.52,573.84,584.31
18.03.2005,585.865,579.30,592.43,584.31,582.43
21.03.2005,578.205,569.43,586.98,582.50,572.03
22.03.2005,576.415,568.72,584.11,571.84,584.09
23.03.2005,575.18,566.27,584.09,584.07,573.76
24.03.2005,585.82,573.76,597.88,573.76,596.94
25.03.2005,601.06,596.94,605.18,596.95,602.40
28.03.2005,600.1,595.83,604.37,602.40,601.69
29.03.2005,599.06,593.67,604.45,601.75,596.89
30.03.2005,590.805,584.63,596.98,596.98,591.14
31.03.2005,594.785,590.94,598.63,591.14,598.04
01.04.2005,603.505,595.01,612.00,598.05,611.86
04.04.2005,609.89,604.34,615.44,611.86,605.32
05.04.2005,608.52,604.19,612.85,605.32,611.78
06.04.2005,619.26,611.78,626.74,611.79,626.45
07.04.2005,627.98,622.86,633.10,626.46,627.97
08.04.2005,628.93,623.38,634.48,627.97,631.13
11.04.2005,618.29,605.44,631.14,631.14,616.29
12.04.2005,611.855,606.14,617.57,616.29,615.94
13.04.2005,619.99,615.94,624.04,615.95,617.02
14.04.2005,610.575,604.13,617.02,616.84,608.31
15.04.2005,604.255,600.20,608.31,608.16,602.71
18.04.2005,594.525,586.34,602.71,602.68,591.12
19.04.2005,594.81,591.11,598.51,591.11,596.36
20.04.2005,598.915,593.47,604.36,596.36,594.91
21.04.2005,597.94,591.56,604.32,594.91,603.79
22.04.2005,608.18,603.79,612.57,603.96,609.78
25.04.2005,614.65,608.01,621.29,609.82,611.50
26.04.2005,609.065,604.13,614.00,611.51,605.85
27.04.2005,600.425,594.85,606.00,605.85,594.89
28.04.2005,597.155,592.33,601.98,594.89,595.68
29.04.2005,595.1,592.25,597.95,595.61,593.88
03.05.2005,596.25,593.88,598.62,593.94,597.45
04.05.2005,598.475,595.35,601.60,597.45,598.14
05.05.2005,601.125,597.51,604.74,598.14,599.49
06.05.2005,597.9,596.10,599.70,599.49,597.21
11.05.2005,592.86,588.35,597.37,597.21,589.25
12.05.2005,585.07,580.89,589.25,589.24,581.56
13.05.2005,576.985,572.41,581.56,581.56,580.04
14.05.2005,579.205,577.91,580.50,580.05,578.76
16.05.2005,571.61,564.42,578.80,578.76,564.43
17.05.2005,575.125,563.24,587.01,564.43,587.00
18.05.2005,586.885,583.74,590.03,587.00,587.35
19.05.2005,588.75,586.00,591.50,587.35,586.80
20.05.2005,585.705,583.30,588.11,586.80,585.68
23.05.2005,585.75,584.13,587.37,585.68,587.07
24.05.2005,596.2,587.06,605.34,587.07,605.32
25.05.2005,600.87,595.20,606.54,605.32,595.75
26.05.2005,597.81,593.87,601.75,595.75,597.09
27.05.2005,599.335,596.11,602.56,597.09,597.33
30.05.2005,595.375,592.92,597.83,597.33,596.15
31.05.2005,600.155,593.97,606.34,596.15,603.89
01.06.2005,600.905,596.98,604.83,603.89,601.29
02.06.2005,605.085,601.29,608.88,601.48,606.95
03.06.2005,607.155,604.09,610.22,606.95,609.09
06.06.2005,605.945,602.80,609.09,609.09,606.33
07.06.2005,605.9,602.78,609.02,606.33,606.78
08.06.2005,606.39,604.18,608.60,606.78,606.89
09.06.2005,606.66,604.95,608.37,606.89,605.43
10.06.2005,608.75,605.43,612.07,605.44,611.19
14.06.2005,616.05,611.19,620.91,611.20,619.97
15.06.2005,619.415,615.70,623.13,619.98,616.69
16.06.2005,619.205,615.15,623.26,616.69,618.93
17.06.2005,620.62,616.78,624.46,618.94,624.07
20.06.2005,625.65,623.92,627.38,624.07,624.66
21.06.2005,621.555,618.42,624.69,624.66,621.02
22.06.2005,624.66,620.31,629.01,621.02,628.26
23.06.2005,630.815,626.35,635.28,628.26,632.39
24.06.2005,631.75,628.63,634.87,632.38,632.90
27.06.2005,630.205,627.26,633.15,632.90,628.38
28.06.2005,627.295,623.60,630.99,628.41,629.27
29.06.2005,631.58,629.07,634.09,629.27,630.27
30.06.2005,636.17,630.08,642.26,630.27,639.98
01.07.2005,644.51,639.35,649.67,639.98,649.08
04.07.2005,653.215,649.08,657.35,649.08,653.26
05.07.2005,652.195,648.02,656.37,653.26,652.53
06.07.2005,663.395,651.12,675.67,652.52,671.59
07.07.2005,667.71,656.35,679.07,671.59,671.73
08.07.2005,678.255,671.73,684.78,671.79,681.84
11.07.2005,683.895,679.55,688.24,681.84,683.42
12.07.2005,678.465,673.51,683.42,683.42,678.87
13.07.2005,682.85,676.79,688.91,678.87,686.44
14.07.2005,685.45,681.58,689.32,686.43,682.89
15.07.2005,677.855,672.82,682.89,682.89,676.39
18.07.2005,674.925,670.16,679.69,676.38,670.44
19.07.2005,675.205,670.38,680.03,670.44,679.66
20.07.2005,684.53,679.56,689.50,679.67,687.40
21.07.2005,688.085,682.21,693.96,687.40,684.82
22.07.2005,691.1,683.18,699.02,684.82,695.34
25.07.2005,700.23,695.15,705.31,695.34,702.46
26.07.2005,697.16,690.86,703.46,702.46,692.01
27.07.2005,696.925,691.74,702.11,692.01,697.27
28.07.2005,698.615,693.09,704.14,697.25,702.09
29.07.2005,703.625,698.36,708.89,702.09,700.65
01.08.2005,697.66,691.79,703.53,700.54,702.34
02.08.2005,707.15,702.34,711.96,702.34,709.94
03.08.2005,705.005,696.12,713.89,709.94,697.87
04.08.2005,703.74,694.17,713.31,697.94,712.28
05.08.2005,712.46,708.77,716.15,712.28,715.41
08.08.2005,716.36,712.46,720.26,715.41,718.53
09.08.2005,720.47,716.15,724.79,718.59,720.50
10.08.2005,722.26,717.51,727.01,720.50,721.00
11.08.2005,717.115,709.10,725.13,721.00,709.50
12.08.2005,706.43,701.59,711.27,709.50,705.08
15.08.2005,709.08,702.86,715.30,705.08,714.42
16.08.2005,726.405,714.42,738.39,714.44,738.15
17.08.2005,740.35,732.30,748.40,738.14,746.58
18.08.2005,742.46,734.24,750.68,746.56,743.99
19.08.2005,748.82,739.90,757.74,743.99,755.98
22.08.2005,758.275,751.11,765.44,755.98,760.54
23.08.2005,761.345,758.20,764.49,760.54,760.82
24.08.2005,760.325,755.17,765.48,760.82,761.93
25.08.2005,762.015,757.95,766.08,761.92,765.86
26.08.2005,768.74,765.53,771.95,765.86,768.50
29.08.2005,769.24,764.84,773.64,768.51,772.92
30.08.2005,780.715,772.91,788.52,772.92,778.38
31.08.2005,775.33,766.25,784.41,778.38,784.28
01.09.2005,792.3,784.28,800.32,784.28,790.97
02.09.2005,797.095,790.11,804.08,790.98,803.67
05.09.2005,803.57,795.81,811.33,803.68,797.46
06.09.2005,784.75,772.04,797.46,797.45,772.14
07.09.2005,763.9,748.46,779.34,772.14,758.01
08.09.2005,765.345,755.93,774.76,758.01,773.61
09.09.2005,784.58,773.61,795.55,773.61,794.92
12.09.2005,795.29,788.82,801.76,794.93,792.24
13.09.2005,790.415,784.74,796.09,792.24,786.26
14.09.2005,783.225,776.44,790.01,786.26,790.00
15.09.2005,796.11,790.00,802.22,790.00,801.45
16.09.2005,804.77,792.37,817.17,801.45,811.27
19.09.2005,822.495,809.06,835.93,811.27,834.06
20.09.2005,841.05,824.87,857.23,834.08,836.52
21.09.2005,842.15,824.25,860.05,836.52,858.85
22.09.2005,865.66,856.79,874.53,858.85,860.07
23.09.2005,862.675,852.41,872.94,860.07,864.56
26.09.2005,856.245,847.93,864.56,864.56,853.78
27.09.2005,872.875,853.78,891.97,853.78,891.71
28.09.2005,889.005,877.60,900.41,891.70,886.76
29.09.2005,886.525,877.71,895.34,886.82,879.19
30.09.2005,887.2,879.19,895.21,879.19,892.50
03.10.2005,913.14,892.50,933.78,892.76,932.87
04.10.2005,945.015,932.87,957.16,932.87,939.44
05.10.2005,917.645,895.85,939.44,939.43,898.99
06.10.2005,869.575,840.16,898.99,898.99,846.49
07.10.2005,845.385,832.36,858.41,846.76,843.49
10.10.2005,858.655,843.49,873.82,843.53,871.91
11.10.2005,884.025,866.29,901.76,871.91,901.55
12.10.2005,887.575,857.73,917.42,901.55,859.70
13.10.2005,842.725,825.75,859.70,859.69,841.45
14.10.2005,824.7,807.95,841.45,841.45,809.30
17.10.2005,815.59,801.99,829.19,809.68,819.87
18.10.2005,826.83,819.08,834.58,819.89,821.62
19.10.2005,803.635,785.65,821.62,821.24,786.56
20.10.2005,795.23,786.56,803.90,786.56,791.20
21.10.2005,787.31,773.45,801.17,791.19,797.95
24.10.2005,810.75,795.32,826.18,797.96,820.94
25.10.2005,819.135,802.38,835.89,821.58,812.10
26.10.2005,816.33,809.87,822.79,812.10,819.87
27.10.2005,809.02,796.55,821.49,819.87,800.31
28.10.2005,806.625,791.52,821.73,800.21,818.64
31.10.2005,831.03,818.64,843.42,818.64,842.52
01.11.2005,847.24,837.81,856.67,842.52,844.43
02.11.2005,858.885,844.43,873.34,844.44,873.34
03.11.2005,876.735,869.95,883.52,873.36,880.13
07.11.2005,877.14,866.85,887.43,880.13,880.45
08.11.2005,878.45,871.21,885.69,880.42,880.14
09.11.2005,889.25,880.14,898.36,880.14,884.85
10.11.2005,883.1,874.48,891.72,884.87,874.53
11.11.2005,874.945,869.03,880.86,874.49,880.31
14.11.2005,892.165,879.29,905.04,880.31,903.94
15.11.2005,906.41,898.76,914.06,903.94,904.86
16.11.2005,899.59,893.17,906.01,904.58,905.86
17.11.2005,919.87,905.86,933.88,905.91,929.99
18.11.2005,928.015,920.04,935.99,929.88,928.14
21.11.2005,936.475,928.13,944.82,928.15,930.12
22.11.2005,928.515,917.30,939.73,930.25,923.84
23.11.2005,926.275,920.02,932.53,923.84,920.52
24.11.2005,926.43,920.52,932.34,920.55,931.48
25.11.2005,933.82,926.11,941.53,931.48,940.63
28.11.2005,947.36,939.76,954.96,940.63,940.28
29.11.2005,934.32,927.38,941.26,940.26,937.65
30.11.2005,939.105,932.06,946.15,937.65,944.55
01.12.2005,957.45,944.55,970.35,944.55,970.34
02.12.2005,981.34,970.34,992.34,970.35,985.99
05.12.2005,990.545,982.06,999.03,986.00,985.81
06.12.2005,981.855,973.29,990.42,985.81,983.36
07.12.2005,990.315,983.36,997.27,983.36,991.76
08.12.2005,983.29,970.52,996.06,991.71,993.77
09.12.2005,997.84,991.80,1003.88,993.77,994.96
12.12.2005,1000.545,994.27,1006.82,994.92,1003.17
13.12.2005,1000.135,995.45,1004.82,1003.17,998.90
14.12.2005,997.8,993.44,1002.16,998.90,997.07
15.12.2005,998.415,992.27,1004.56,997.07,993.43
16.12.2005,994.88,990.69,999.07,993.43,996.15
19.12.2005,997.08,991.48,1002.68,996.15,1000.44
20.12.2005,988.535,976.63,1000.44,1000.44,995.79
21.12.2005,999.095,995.79,1002.40,995.79,1001.79
22.12.2005,1011.79,1001.79,1021.79,1001.79,1020.30
23.12.2005,1023.91,1015.09,1032.73,1020.38,1015.95
26.12.2005,1019.075,1015.90,1022.25,1015.95,1018.35
27.12.2005,1017.61,1013.18,1022.04,1018.35,1013.36
28.12.2005,1005.545,997.68,1013.41,1013.30,1004.57
29.12.2005,1009.38,1004.57,1014.19,1004.58,1010.11
30.12.2005,1012.38,1009.11,1015.65,1010.11,1011.00
10.01.2006,1040.15,1011.00,1069.30,1012.31,1064.91
11.01.2006,1073.765,1058.93,1088.60,1064.91,1088.03
12.01.2006,1112.05,1088.03,1136.07,1088.04,1129.74
13.01.2006,1120.4,1099.60,1141.20,1129.74,1114.21
16.01.2006,1131.845,1112.46,1151.23,1114.21,1150.34
17.01.2006,1139.8,1109.75,1169.85,1150.36,1124.79
18.01.2006,1104.2,1083.61,1124.79,1124.75,1103.71
19.01.2006,1118.775,1089.57,1147.98,1103.06,1147.80
20.01.2006,1161.51,1147.80,1175.22,1147.80,1169.03
23.01.2006,1152.815,1136.59,1169.04,1169.03,1144.10
24.01.2006,1153.955,1144.10,1163.81,1144.11,1163.40
25.01.2006,1169.455,1156.29,1182.62,1163.41,1179.11
26.01.2006,1185.925,1175.10,1196.75,1179.05,1187.11
27.01.2006,1207.08,1187.11,1227.05,1187.19,1227.05
30.01.2006,1212.545,1183.01,1242.08,1227.05,1186.38
31.01.2006,1188.59,1168.10,1209.08,1186.81,1171.44
01.02.2006,1179.735,1158.12,1201.35,1171.44,1201.32
02.02.2006,1195.28,1186.42,1204.14,1201.32,1195.14
03.02.2006,1177.235,1159.33,1195.14,1195.01,1163.75
06.02.2006,1179.615,1163.75,1195.48,1163.75,1194.23
07.02.2006,1188.145,1178.46,1197.83,1193.86,1186.08
08.02.2006,1185.38,1165.09,1205.67,1186.08,1205.05
09.02.2006,1220.96,1204.32,1237.60,1205.04,1237.60
10.02.2006,1233.145,1220.96,1245.33,1237.60,1229.37
13.02.2006,1230.655,1215.43,1245.88,1229.36,1238.18
14.02.2006,1252.06,1229.93,1274.19,1238.06,1242.99
15.02.2006,1236.24,1215.81,1256.67,1242.99,1237.56
16.02.2006,1246.29,1230.04,1262.54,1237.54,1255.05
17.02.2006,1278.055,1255.05,1301.06,1255.05,1301.04
20.02.2006,1319.79,1301.04,1338.54,1301.05,1337.28
21.02.2006,1333.365,1317.61,1349.12,1337.28,1317.98
22.02.2006,1331.97,1314.87,1349.07,1317.97,1348.67
26.02.2006,1375.305,1348.67,1401.94,1348.67,1399.08
27.02.2006,1397.045,1369.47,1424.62,1399.08,1388.76
28.02.2006,1358.045,1315.78,1400.31,1387.94,1320.83
01.03.2006,1324.97,1300.85,1349.09,1320.83,1336.55
02.03.2006,1343.205,1328.86,1357.55,1336.93,1345.42
03.03.2006,1354.835,1341.69,1367.98,1345.42,1349.06
06.03.2006,1348.465,1330.84,1366.09,1349.06,1336.92
07.03.2006,1296.945,1256.97,1336.92,1334.63,1261.93
09.03.2006,1234.065,1206.20,1261.93,1261.93,1236.64
10.03.2006,1227.5,1205.30,1249.70,1236.63,1232.77
13.03.2006,1254.2,1232.77,1275.63,1232.90,1275.37
14.03.2006,1258.89,1224.97,1292.81,1275.37,1240.48
15.03.2006,1247.115,1235.29,1258.94,1240.53,1255.62
16.03.2006,1247.145,1236.01,1258.28,1255.62,1253.68
17.03.2006,1274.485,1253.68,1295.29,1253.70,1288.32
20.03.2006,1284.385,1265.37,1303.40,1288.33,1272.05
21.03.2006,1262.68,1253.31,1272.05,1272.04,1262.80
22.03.2006,1267.855,1254.95,1280.76,1262.85,1280.74
23.03.2006,1289.415,1278.37,1300.46,1280.74,1289.71
24.03.2006,1281.1,1266.55,1295.65,1289.74,1291.82
27.03.2006,1298.03,1290.35,1305.71,1291.82,1291.89
28.03.2006,1281.66,1268.75,1294.57,1291.82,1273.06
29.03.2006,1259.79,1246.41,1273.17,1273.08,1251.82
30.03.2006,1274.035,1251.82,1296.25,1251.87,1295.98
31.03.2006,1299.19,1288.90,1309.48,1295.72,1299.19
03.04.2006,1308.055,1297.04,1319.07,1299.19,1316.93
04.04.2006,1314.635,1301.30,1327.97,1316.95,1308.36
05.04.2006,1323.15,1308.00,1338.30,1308.37,1336.04
06.04.2006,1348.6,1336.04,1361.16,1337.08,1344.79
07.04.2006,1356.22,1334.47,1377.97,1344.78,1374.14
10.04.2006,1385.48,1360.41,1410.55,1374.26,1408.73
11.04.2006,1417.44,1394.81,1440.07,1408.74,1395.03
12.04.2006,1397.945,1375.76,1420.13,1394.96,1419.40
13.04.2006,1409.295,1390.40,1428.19,1419.40,1395.57
14.04.2006,1404.415,1395.57,1413.26,1395.57,1413.24
17.04.2006,1421.985,1413.24,1430.73,1413.24,1429.58
18.04.2006,1437.665,1429.58,1445.75,1429.63,1441.52
19.04.2006,1451.93,1441.52,1462.34,1441.56,1457.57
20.04.2006,1456.275,1444.18,1468.37,1457.57,1449.19
21.04.2006,1447.75,1435.50,1460.00,1449.19,1458.53
24.04.2006,1465.28,1458.53,1472.03,1458.64,1470.72
25.04.2006,1463.415,1452.77,1474.06,1470.71,1454.64
26.04.2006,1478.03,1454.64,1501.42,1454.64,1500.65
27.04.2006,1477.54,1436.08,1519.00,1500.66,1451.06
28.04.2006,1464.28,1439.66,1488.90,1451.05,1486.85
02.05.2006,1514.46,1486.85,1542.07,1486.85,1538.41
03.05.2006,1544.295,1524.41,1564.18,1538.55,1531.10
04.05.2006,1538.565,1516.09,1561.04,1531.10,1560.74
05.05.2006,1561.495,1547.41,1575.58,1560.23,1562.02
06.05.2006,1573.795,1562.02,1585.57,1562.05,1585.04
10.05.2006,1577.73,1539.14,1616.32,1584.97,1543.75
11.05.2006,1529.08,1480.67,1577.49,1543.82,1534.51
12.05.2006,1508.63,1482.75,1534.51,1534.46,1483.62
15.05.2006,1435.21,1386.80,1483.62,1483.62,1398.20
16.05.2006,1381.135,1343.33,1418.94,1398.19,1403.95
17.05.2006,1388.825,1342.42,1435.23,1404.15,1343.86
18.05.2006,1308.05,1272.24,1343.86,1343.00,1308.48
19.05.2006,1298.455,1263.96,1332.95,1308.49,1265.87
22.05.2006,1197.24,1120.06,1274.42,1265.85,1143.76
23.05.2006,1194.46,1122.41,1266.51,1143.77,1265.89
24.05.2006,1224.34,1180.35,1268.33,1265.89,1216.22
25.05.2006,1237.595,1191.03,1284.16,1216.22,1274.37
26.05.2006,1311.555,1274.37,1348.74,1275.85,1341.99
29.05.2006,1340.165,1312.38,1367.95,1342.01,1313.85
30.05.2006,1300.36,1271.58,1329.14,1313.90,1303.53
31.05.2006,1286.07,1254.85,1317.29,1303.14,1281.50
01.06.2006,1284.205,1268.63,1299.78,1281.50,1298.84
02.06.2006,1332.035,1298.84,1365.23,1298.89,1363.49
05.06.2006,1366.21,1343.21,1389.21,1363.52,1364.33
06.06.2006,1319.005,1273.68,1364.33,1360.41,1277.48
07.06.2006,1256.87,1219.98,1293.76,1277.48,1270.94
08.06.2006,1221.9,1172.86,1270.94,1270.91,1173.11
09.06.2006,1201.455,1173.11,1229.80,1173.11,1191.66
13.06.2006,1134.925,1078.19,1191.66,1191.44,1082.25
14.06.2006,1106.735,1062.82,1150.65,1082.24,1149.34
15.06.2006,1176.31,1149.34,1203.28,1150.34,1203.25
16.06.2006,1206.985,1157.70,1256.27,1203.36,1180.55
19.06.2006,1198.515,1176.54,1220.49,1180.55,1199.45
20.06.2006,1200.985,1166.27,1235.70,1199.45,1235.19
21.06.2006,1224.605,1199.59,1249.62,1235.25,1227.95
22.06.2006,1228.045,1192.24,1263.85,1228.76,1193.02
23.06.2006,1195.865,1179.87,1211.86,1193.02,1198.03
26.06.2006,1193.05,1178.25,1207.85,1198.03,1202.89
27.06.2006,1229.96,1200.56,1259.36,1202.90,1247.75
28.06.2006,1246.365,1220.65,1272.08,1247.73,1270.20
29.06.2006,1278.925,1259.94,1297.91,1270.23,1292.20
30.06.2006,1318.49,1292.20,1344.78,1292.25,1331.39
03.07.2006,1345.82,1331.15,1360.49,1331.39,1354.34
04.07.2006,1357.0,1339.37,1374.63,1354.34,1374.21
05.07.2006,1339.53,1304.85,1374.21,1373.76,1312.79
06.07.2006,1340.71,1312.79,1368.63,1312.87,1367.20
07.07.2006,1369.35,1351.47,1387.23,1367.20,1367.38
10.07.2006,1368.84,1353.19,1384.49,1367.37,1384.49
11.07.2006,1377.975,1366.00,1389.95,1384.49,1368.63
12.07.2006,1382.0,1368.63,1395.37,1368.71,1376.30
13.07.2006,1336.315,1296.33,1376.30,1376.29,1307.77
14.07.2006,1299.875,1264.85,1334.90,1307.76,1313.09
17.07.2006,1292.93,1272.77,1313.09,1313.05,1277.19
18.07.2006,1278.205,1255.05,1301.36,1276.91,1296.37
19.07.2006,1305.725,1278.16,1333.29,1296.45,1332.11
20.07.2006,1341.24,1325.52,1356.96,1332.11,1328.61
21.07.2006,1319.805,1309.56,1330.05,1328.60,1315.41
24.07.2006,1321.765,1305.57,1337.96,1315.41,1337.70
25.07.2006,1343.505,1332.03,1354.98,1338.47,1332.35
26.07.2006,1342.605,1332.35,1352.86,1332.89,1344.43
27.07.2006,1369.055,1344.43,1393.68,1344.65,1392.59
28.07.2006,1381.28,1367.94,1394.62,1392.56,1388.31
31.07.2006,1389.605,1376.03,1403.18,1388.45,1380.24
01.08.2006,1383.655,1363.67,1403.64,1380.30,1369.87
02.08.2006,1384.53,1369.51,1399.55,1369.90,1399.27
03.08.2006,1395.055,1377.96,1412.15,1399.31,1408.20
04.08.2006,1431.765,1408.20,1455.33,1408.21,1449.73
07.08.2006,1436.61,1423.49,1449.73,1449.15,1441.58
08.08.2006,1439.94,1425.83,1454.05,1442.02,1434.71
09.08.2006,1450.385,1434.26,1466.51,1434.71,1462.68
10.08.2006,1451.22,1439.76,1462.68,1462.65,1454.27
11.08.2006,1467.465,1454.27,1480.66,1454.28,1479.96
14.08.2006,1484.855,1471.04,1498.67,1479.96,1474.99
15.08.2006,1456.585,1435.69,1477.48,1475.00,1476.30
